Ranking,Taxonomic Group,Quantity,Kingdom,Phylum,Class,Order,Family,Genus,Taxon,Filters
1,Psittacus erithacus,4,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,Reported by importer; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
2,Poicephalus senegalus,2,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Poicephalus,Poicephalus senegalus,Reported by importer; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
3,Panthera pardus,1,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus,Reported by importer; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
4,Lutra lutra,1,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,Lutra lutra,Reported by importer; Date range - 2021 - 2022; Unit - Number of specimens; Origin - Direct; 
